id_venta,producto,precio,cantidad,fecha_venta,categoria,total_venta,id_campanha,canal,costo,fecha_inicio,fecha_fin,en_campaña
792,Cuadro decorativo,69.94,5.0,2024-01-02,Decoración,349.7,1,RRSS,5.27,2024-04-27,2024-06-04,False
792,Cuadro decorativo,69.94,5.0,2024-01-02,Decoración,349.7,31,Email,5.28,2024-08-15,2024-09-12,False
792,Cuadro decorativo,69.94,5.0,2024-01-02,Decoración,349.7,61,TV,5.3,2024-11-05,2024-12-23,False
811,Lámpara de mesa,105.1,5.0,2024-01-02,Decoración,525.5,32,Email,5.54,2024-03-28,2024-04-20,False
811,Lámpara de mesa,105.1,5.0,2024-01-02,Decoración,525.5,2,RRSS,5.88,2024-05-30,2024-06-29,False
811,Lámpara de mesa,105.1,5.0,2024-01-02,Decoración,525.5,62,TV,4.51,2024-08-26,2024-10-07,False
1156,Secadora,97.96,3.0,2024-01-02,Electrodomésticos,293.88,3,RRSS,5.1,2024-07-24,2024-08-30,False
1156,Secadora,97.96,3.0,2024-01-02,Electrodomésticos,293.88,63,TV,5.69,2024-11-03,2024-11-28,False
1156,Secadora,97.96,3.0,2024-01-02,Electrodomésticos,293.88,33,Email,3.8,2024-12-20,2025-01-07,False
1372,Heladera,114.35,8.0,2024-01-02,Electrodomésticos,914.8,34,Email,4.2,2024-05-06,2024-07-05,False
1372,Heladera,114.35,8.0,2024-01-02,Electrodomésticos,914.8,4,RRSS,4.53,2024-05-31,2024-07-15,False
1372,Heladera,114.35,8.0,2024-01-02,Electrodomésticos,914.8,64,TV,4.38,2024-07-10,2024-08-09,False
1546,Secadora,106.21,4.0,2024-01-02,Electrodomésticos,424.84,3,RRSS,5.1,2024-07-24,2024-08-30,False
1546,Secadora,106.21,4.0,2024-01-02,Electrodomésticos,424.84,63,TV,5.69,2024-11-03,2024-11-28,False
1546,Secadora,106.21,4.0,2024-01-02,Electrodomésticos,424.84,33,Email,3.8,2024-12-20,2025-01-07,False
1697,Horno eléctrico,35.35,9.0,2024-01-02,Electrodomésticos,318.15000000000003,35,Email,5.65,2024-07-31,2024-09-29,False
1697,Horno eléctrico,35.35,9.0,2024-01-02,Electrodomésticos,318.15000000000003,5,RRSS,5.16,2024-08-22,2024-10-17,False
1697,Horno eléctrico,35.35,9.0,2024-01-02,Electrodomésticos,318.15000000000003,65,TV,3.08,2024-10-23,2024-12-11,False
1710,Plancha de vapor,65.43,2.0,2024-01-02,Electrodomésticos,130.86,36,Email,5.41,2024-04-02,2024-06-01,False
1710,Plancha de vapor,65.43,2.0,2024-01-02,Electrodomésticos,130.86,6,RRSS,4.02,2024-09-24,2024-11-02,False
1710,Plancha de vapor,65.43,2.0,2024-01-02,Electrodomésticos,130.86,66,TV,4.69,2024-10-04,2024-10-23,False
2959,Proyector,88.17,9.0,2024-01-02,Electrónica,793.53,67,TV,3.68,2024-05-22,2024-07-12,False
2959,Proyector,88.17,9.0,2024-01-02,Electrónica,793.53,37,Email,3.22,2024-07-06,2024-07-26,False
2959,Proyector,88.17,9.0,2024-01-02,Electrónica,793.53,7,RRSS,5.57,2024-07-30,2024-08-16,False
318,Rincón de plantas,79.86,11.0,2024-01-03,Decoración,878.46,38,Email,5.76,2024-06-14,2024-07-15,False
318,Rincón de plantas,79.86,11.0,2024-01-03,Decoración,878.46,8,RRSS,4.88,2024-08-03,2024-08-18,False
318,Rincón de plantas,79.86,11.0,2024-01-03,Decoración,878.46,68,TV,5.81,2024-12-17,2025-02-14,False
419,Candelabro,66.11,8.0,2024-01-03,Decoración,528.88,69,TV,3.25,2024-05-29,2024-06-30,False
419,Candelabro,66.11,8.0,2024-01-03,Decoración,528.88,39,Email,6.08,2024-07-17,2024-08-18,False
419,Candelabro,66.11,8.0,2024-01-03,Decoración,528.88,9,RRSS,5.32,2024-10-08,2024-11-16,False
1374,Aspiradora,95.9,5.0,2024-01-03,Electrodomésticos,479.5,40,Email,6.24,2024-06-24,2024-08-12,False
1374,Aspiradora,95.9,5.0,2024-01-03,Electrodomésticos,479.5,10,RRSS,7.16,2024-08-19,2024-09-19,False
1374,Aspiradora,95.9,5.0,2024-01-03,Electrodomésticos,479.5,70,TV,3.06,2024-12-13,2024-12-29,False
1571,Freidora eléctrica,111.18,1.0,2024-01-03,Electrodomésticos,111.18,71,TV,4.37,2024-06-05,2024-07-24,False
